q1_len,q2_len,q1_words,q2_words,common_words,total_words,words_share,token_set,token_sort,partial_token_set,partial_token_sort
27,21,4,3,2,7,0.29,76,58,100,67
55,73,7,10,2,16,0.12,61,58,100,60
30,17,5,3,1,8,0.12,47,47,100,59
27,31,3,4,2,7,0.29,90,90,100,98
18,18,3,3,3,6,0.5,100,100,100,100
21,17,3,2,1,5,0.2,74,74,100,71
55,53,6,6,5,12,0.42,94,83,100,81
60,23,10,4,1,14,0.07,41,36,100,57
22,29,3,4,3,7,0.43,100,86,100,100
33,42,5,7,3,12,0.25,62,51,100,66
68,45,10,6,2,16,0.12,55,44,100,44
26,12,4,2,2,5,0.4,100,63,100,75
44,36,5,4,3,9,0.33,82,80,100,77
30,37,3,4,1,7,0.14,60,60,100,67
22,35,4,6,1,10,0.1,46,46,100,59
28,23,4,4,3,8,0.38,76,75,100,67
14,33,2,4,2,6,0.33,100,60,100,100
9,4,2,1,1,3,0.33,100,62,100,100
41,33,6,4,2,10,0.2,65,51,100,45
27,37,4,6,3,10,0.3,90,72,100,78
29,46,3,5,1,8,0.12,56,56,100,76
15,19,3,3,1,6,0.17,82,82,100,80
36,25,5,4,3,9,0.33,89,66,100,68
24,92,3,14,2,16,0.12,77,36,100,58
18,24,2,3,0,5,0.0,62,62,62,62
31,26,5,4,3,9,0.33,92,81,100,81
69,63,9,10,2,17,0.12,53,56,100,59
39,62,5,8,2,11,0.18,58,48,100,54
19,45,3,6,0,9,0.0,47,47,68,68
6,19,1,3,0,4,0.0,32,32,55,55
17,17,3,3,3,6,0.5,100,100,100,100
27,28,5,5,4,10,0.4,98,98,100,96
57,33,7,5,2,12,0.17,69,69,100,61
51,45,9,7,4,15,0.27,66,56,100,60
33,33,3,3,3,6,0.5,100,100,100,100
120,53,19,8,6,27,0.22,85,55,100,53
37,32,6,5,4,11,0.36,90,90,100,83
25,34,4,5,4,9,0.44,100,85,100,88
63,65,8,8,7,16,0.44,91,86,100,84
35,35,5,5,4,10,0.4,89,80,100,80
14,25,3,5,3,8,0.38,100,72,100,71
8,7,1,2,0,3,0.0,67,67,71,71
26,25,3,3,2,6,0.33,98,98,100,96
43,43,7,6,4,13,0.31,72,72,100,72
46,70,7,12,6,15,0.4,100,79,100,74
23,23,3,3,3,6,0.5,100,100,100,100
47,50,6,8,4,13,0.31,72,52,100,47
41,59,6,8,0,14,0.0,32,32,37,37
31,24,5,4,4,9,0.44,100,87,100,100
10,49,2,7,0,9,0.0,24,24,40,40
9,9,2,2,2,4,0.5,100,100,100,100
19,27,3,5,2,8,0.25,83,83,100,68
14,20,2,3,2,5,0.4,100,82,100,100
37,46,6,6,0,12,0.0,34,34,38,38
29,39,5,6,5,11,0.45,100,85,100,66
92,182,14,28,3,41,0.07,39,31,100,36
58,24,9,4,4,13,0.31,100,59,100,62
29,28,4,4,3,8,0.38,84,70,100,68
59,31,9,5,1,12,0.08,69,42,100,55
22,16,3,2,2,5,0.4,100,84,100,75
29,25,3,3,0,6,0.0,37,37,49,49
16,25,2,3,2,5,0.4,100,78,100,81
89,41,13,6,5,17,0.29,94,58,100,85
60,26,8,3,0,10,0.0,18,16,32,32
52,49,8,7,5,15,0.33,87,87,100,92
41,50,6,7,2,13,0.15,42,33,100,45
25,31,4,5,4,9,0.44,100,89,100,100
36,25,5,4,3,9,0.33,84,59,100,56
45,104,7,17,2,22,0.09,42,38,100,47
88,30,11,4,1,15,0.07,44,44,100,53
24,29,3,4,3,7,0.43,100,91,100,79
61,52,9,8,2,17,0.12,44,44,100,44
40,30,7,5,3,12,0.25,66,60,100,60
48,26,7,5,0,12,0.0,19,19,31,31
120,96,13,11,3,23,0.13,57,55,100,61
21,21,3,3,3,6,0.5,100,100,100,100
55,36,7,6,1,11,0.09,48,53,100,48
11,4,2,1,1,3,0.33,100,53,100,100
12,19,2,4,1,6,0.17,71,71,100,67
66,65,8,9,5,17,0.29,71,60,100,62
22,25,4,4,3,8,0.38,84,77,100,82
36,49,5,6,4,9,0.44,100,85,100,100
36,40,6,6,3,12,0.25,82,87,100,83
33,39,5,8,2,12,0.17,50,44,100,48
37,27,5,4,2,9,0.22,65,59,100,67
48,49,7,7,5,14,0.36,95,95,100,94
14,26,2,3,1,5,0.2,73,40,100,73
61,27,8,4,3,9,0.33,80,55,100,74
40,48,4,6,3,10,0.3,86,70,100,68
59,20,8,3,2,10,0.2,75,41,100,75
25,23,4,3,3,7,0.43,100,96,100,100
41,21,7,4,2,11,0.18,73,61,100,67
33,29,4,4,2,8,0.25,71,58,100,62
39,132,5,22,2,27,0.07,44,26,100,46
64,61,8,7,6,15,0.4,89,80,100,86
8,16,1,3,0,4,0.0,58,58,88,88
61,65,9,13,0,16,0.0,30,27,28,29
51,55,8,8,7,16,0.44,98,92,100,88
17,23,4,5,3,9,0.33,87,65,100,71
30,25,4,4,2,8,0.25,65,65,100,71
19,13,4,3,2,7,0.29,81,81,100,92
61,52,8,9,3,16,0.19,63,53,100,58
11,12,3,3,2,6,0.33,96,96,100,91
39,25,6,5,3,11,0.27,68,56,100,56
67,44,9,6,5,15,0.33,93,68,100,75
60,45,9,7,4,15,0.27,75,50,100,47
42,24,6,4,3,10,0.3,91,61,100,75
24,27,4,5,2,9,0.22,78,78,100,71
24,15,4,3,1,7,0.14,67,67,100,83
24,27,3,3,2,6,0.33,91,78,100,71
35,30,5,4,1,9,0.11,49,49,100,57
64,25,8,3,3,9,0.33,100,56,100,84
14,28,2,4,1,5,0.2,73,67,100,71
45,44,8,6,4,14,0.29,74,70,100,74
12,12,2,2,2,4,0.5,100,100,100,100
44,55,6,7,4,12,0.33,79,75,100,66
28,27,5,5,4,10,0.4,98,98,100,96
25,25,4,5,2,9,0.22,60,60,100,64
18,89,4,13,4,16,0.25,100,34,100,56
15,10,3,2,2,5,0.4,100,80,100,100
19,21,3,3,2,6,0.33,90,90,100,84
43,38,6,5,5,11,0.45,100,94,100,100
54,64,8,10,2,17,0.12,42,41,100,47
26,25,4,4,3,8,0.38,81,67,100,64
18,15,3,3,2,6,0.33,80,79,100,87
19,53,3,7,2,10,0.2,77,53,100,58
20,34,3,5,3,8,0.38,100,74,100,80
31,19,4,4,3,8,0.38,81,60,100,58
17,31,3,5,2,8,0.25,79,58,100,71
42,8,6,2,1,8,0.12,67,28,100,75
43,46,6,6,5,12,0.42,90,79,100,81
37,23,5,3,2,8,0.25,76,63,100,52
12,54,2,7,2,9,0.22,100,36,100,67
41,44,5,6,3,11,0.27,94,92,100,88
73,66,9,10,0,19,0.0,26,26,27,27
22,21,4,4,3,8,0.38,88,74,100,71
30,35,4,6,2,10,0.2,67,62,100,67
15,23,3,4,3,7,0.43,100,79,100,100
108,125,14,18,6,31,0.19,56,48,100,52
80,28,11,3,0,14,0.0,22,22,43,43
28,33,4,5,3,9,0.33,83,66,100,74
38,61,5,8,2,13,0.15,51,46,100,47
35,40,4,4,0,8,0.0,45,45,62,62
24,27,4,4,3,8,0.38,80,63,100,80
50,26,7,4,3,11,0.27,92,63,100,77
32,28,5,4,3,9,0.33,86,70,100,75
15,8,2,1,1,3,0.33,100,70,100,100
21,21,4,4,4,8,0.5,100,100,100,100
40,32,5,4,3,9,0.33,84,64,100,73
16,16,2,2,2,4,0.5,100,100,100,100
27,28,5,5,3,10,0.3,80,65,100,65
66,40,11,6,0,17,0.0,19,19,32,32
39,12,6,2,1,8,0.12,80,47,100,75
32,27,6,5,3,11,0.27,77,75,100,70
40,44,6,7,1,13,0.08,31,31,100,32
28,17,6,4,3,9,0.33,79,76,100,100
23,23,3,3,3,6,0.5,100,100,100,100
57,41,9,7,4,16,0.25,74,55,100,76
20,58,3,8,2,10,0.2,79,51,100,70
21,11,4,2,2,6,0.33,100,69,100,64
11,10,2,2,1,4,0.25,95,95,100,100
24,24,5,5,4,10,0.4,80,75,100,75
35,30,5,4,4,9,0.44,100,92,100,83
51,88,8,15,3,23,0.13,48,43,100,55
38,38,6,6,6,12,0.5,100,100,100,100
34,26,6,5,4,11,0.36,89,70,100,62
19,10,3,1,1,4,0.25,100,69,100,100
10,11,2,2,1,4,0.25,95,95,100,100
47,45,7,6,2,12,0.17,60,59,100,60
24,28,4,5,1,9,0.11,58,58,100,62
30,22,5,4,4,9,0.44,100,85,100,100
32,31,4,4,3,8,0.38,92,92,100,90
37,18,5,2,1,7,0.14,56,47,100,56
53,30,7,5,1,12,0.08,48,41,100,47
19,19,2,2,2,4,0.5,100,100,100,100
42,40,7,6,2,13,0.15,49,46,100,62
25,27,4,5,2,9,0.22,73,69,100,64
44,50,6,7,4,13,0.31,84,72,100,64
58,70,9,12,1,20,0.05,29,30,100,33
20,20,3,3,3,6,0.5,100,100,100,100
74,172,11,27,3,33,0.09,52,39,100,49
25,32,3,4,0,7,0.0,56,56,64,64
34,24,4,3,2,7,0.29,83,83,100,92
25,30,4,5,2,9,0.22,76,73,100,80
14,24,2,4,0,6,0.0,26,26,40,40
52,61,8,10,0,17,0.0,27,25,26,25
31,30,5,4,1,9,0.11,36,36,100,37
28,72,3,9,3,12,0.25,100,56,100,71
32,25,5,4,2,9,0.22,61,49,100,44
42,24,6,6,2,11,0.18,40,45,100,67
9,13,2,3,0,5,0.0,45,45,56,56
25,39,4,6,4,10,0.4,100,78,100,76
12,63,2,8,2,10,0.2,100,32,100,67
45,35,7,6,5,13,0.38,92,75,100,71
85,25,12,4,3,16,0.19,86,40,100,64
44,34,6,5,1,11,0.09,64,62,100,65
43,24,6,4,0,10,0.0,57,57,58,58
17,17,3,3,3,6,0.5,100,100,100,100
34,37,5,6,3,11,0.27,74,65,100,66
28,49,5,7,4,12,0.33,86,65,100,75
77,158,12,21,4,30,0.13,56,44,100,45
26,49,4,7,4,11,0.36,100,69,100,77
28,15,4,2,2,6,0.33,100,70,100,100
31,21,4,4,2,8,0.25,58,58,100,52
22,23,4,4,3,8,0.38,98,98,100,100
63,34,9,6,0,15,0.0,33,33,38,38
14,23,2,3,2,5,0.4,100,76,100,71
24,28,3,3,1,6,0.17,65,65,100,77
29,34,4,5,3,9,0.33,84,67,100,74
16,21,3,3,2,6,0.33,77,54,100,77
78,114,10,18,3,27,0.11,45,40,100,44
18,15,4,3,2,7,0.29,79,79,100,80
25,33,5,5,3,10,0.3,75,62,100,68
96,42,13,7,3,18,0.17,58,45,100,62
18,34,3,5,2,8,0.25,80,58,100,72
26,24,4,3,0,7,0.0,48,48,50,50
23,17,4,4,3,8,0.38,79,55,100,79
129,90,21,16,6,34,0.18,50,45,100,48
17,23,2,3,2,5,0.4,100,85,100,100
18,31,3,5,2,7,0.29,76,53,100,67
20,48,2,6,0,8,0.0,21,21,35,35
41,16,7,4,3,11,0.27,90,53,100,75
89,31,13,5,1,16,0.06,45,35,100,61
29,28,3,3,1,6,0.17,91,91,100,93
18,18,2,2,0,4,0.0,67,67,67,67
17,24,2,3,1,5,0.2,78,78,100,94
17,18,3,3,2,6,0.33,91,91,100,88
23,20,4,3,2,7,0.29,82,74,100,84
31,26,5,5,3,10,0.3,76,74,100,63
16,30,2,4,1,6,0.17,72,65,100,94
43,92,5,11,1,16,0.06,46,46,100,63
47,50,7,8,6,15,0.4,87,78,100,85
50,17,7,3,2,10,0.2,83,42,100,53
31,34,4,4,3,8,0.38,89,77,100,81
43,40,6,6,3,12,0.25,60,41,100,52
94,32,13,5,0,16,0.0,23,21,28,25
19,33,3,5,2,8,0.25,77,58,100,68
25,71,5,12,3,17,0.18,65,42,100,48
50,49,5,5,4,10,0.4,93,87,100,86
11,15,2,3,0,5,0.0,69,69,90,90
35,44,5,7,3,12,0.25,70,56,100,63
12,19,2,3,2,5,0.4,100,77,100,75
19,59,4,9,1,13,0.08,33,26,100,42
13,13,2,2,2,4,0.5,100,100,100,100
13,14,2,2,1,4,0.25,96,96,100,92
32,49,5,8,3,13,0.23,69,52,100,57
12,18,2,3,1,5,0.2,80,80,100,75
21,29,4,5,2,9,0.22,76,60,100,67
44,51,6,8,3,14,0.21,53,55,100,57
56,56,7,7,4,14,0.29,80,80,100,80
72,59,13,9,4,21,0.19,53,52,100,47
20,16,3,2,1,5,0.2,72,72,100,62
8,8,2,2,2,4,0.5,100,100,100,100
17,14,3,2,1,5,0.2,58,58,100,57
68,29,11,4,2,14,0.14,62,43,100,45
83,81,14,13,2,25,0.08,39,37,100,35
21,27,2,3,2,5,0.4,100,88,100,76
99,102,12,13,1,25,0.04,50,54,100,55
9,9,2,2,2,4,0.5,100,100,100,100
39,56,5,7,3,12,0.25,78,59,100,73
35,24,4,4,1,8,0.12,51,51,100,58
39,36,7,6,0,13,0.0,40,40,42,42
39,37,5,5,4,10,0.4,90,79,100,76
18,21,4,5,4,9,0.44,100,92,100,83
35,36,6,6,4,12,0.33,75,65,100,63
36,42,5,7,2,12,0.17,62,64,100,64
59,70,7,8,3,15,0.2,70,68,100,73
50,57,6,9,2,15,0.13,41,36,100,40
51,61,8,9,5,17,0.29,79,71,100,72
24,14,2,2,1,4,0.25,78,47,100,64
48,41,8,7,7,15,0.47,100,92,100,100
38,85,7,15,3,22,0.14,49,52,100,53
80,26,11,5,1,15,0.07,34,32,100,58
57,93,7,11,0,18,0.0,33,33,37,37
24,13,3,2,2,5,0.4,100,70,100,100
50,16,6,3,2,9,0.22,81,39,100,62
41,45,6,6,3,12,0.25,74,72,100,79
106,81,15,12,3,27,0.11,43,43,100,41
10,22,2,3,2,5,0.4,100,62,100,100
26,29,4,4,3,8,0.38,84,69,100,84
48,65,7,9,3,16,0.19,64,64,100,67
23,18,4,3,2,7,0.29,78,73,100,83
46,64,7,10,4,14,0.29,88,71,100,63
16,21,3,3,2,6,0.33,81,70,100,81
18,21,3,3,1,6,0.17,77,77,100,67
26,47,4,7,3,11,0.27,76,68,100,69
18,23,3,3,1,6,0.17,63,63,100,56
43,70,7,10,5,17,0.29,85,69,100,77
59,26,6,4,0,10,0.0,7,7,23,23
19,13,3,2,1,5,0.2,70,62,100,77
11,10,2,2,1,4,0.25,95,95,100,100
24,21,3,3,0,6,0.0,49,49,52,52
31,33,5,5,4,10,0.4,91,84,100,81
40,30,6,5,1,11,0.09,37,37,100,53
33,23,5,3,1,8,0.12,61,61,100,61
13,13,2,2,2,4,0.5,100,100,100,100
24,19,5,4,3,9,0.33,85,79,100,74
87,62,10,10,1,19,0.05,39,38,100,46
27,27,4,4,2,8,0.25,96,96,100,96
22,25,4,4,2,8,0.25,74,68,100,68
39,68,7,10,5,17,0.29,84,52,100,51
14,31,2,4,1,6,0.17,67,44,100,57
11,21,2,3,1,5,0.2,71,69,100,73
31,35,3,5,2,8,0.25,78,70,100,77
24,39,5,5,2,10,0.2,70,60,100,61
20,20,3,3,3,6,0.5,100,100,100,100
29,20,6,4,3,10,0.3,82,65,100,60
27,17,6,4,4,8,0.5,100,77,100,76
96,54,13,8,2,21,0.1,48,45,100,54
15,27,3,4,2,7,0.29,89,62,100,60
52,44,8,6,2,14,0.14,46,48,100,38
27,26,3,3,2,6,0.33,83,64,100,62
35,55,6,7,2,13,0.15,51,47,100,52
32,74,3,9,2,12,0.17,77,60,100,69
4,13,1,3,1,4,0.25,100,47,100,100
48,43,6,6,3,12,0.25,75,73,100,65
27,28,6,4,2,10,0.2,62,55,100,56
20,13,3,2,2,5,0.4,100,79,100,100
28,22,3,3,2,6,0.33,74,52,100,59
51,21,9,4,3,13,0.23,80,56,100,62
39,28,6,4,2,10,0.2,73,63,100,71
17,19,4,4,2,8,0.25,69,50,100,69
43,21,7,3,2,10,0.2,65,47,100,67
25,45,4,7,2,11,0.18,61,57,100,75
25,28,4,4,3,8,0.38,89,75,100,89
48,89,7,12,5,18,0.28,87,60,100,65
28,36,4,6,3,10,0.3,81,59,100,68
64,32,9,6,0,15,0.0,10,10,28,28
42,33,6,6,3,12,0.25,60,51,100,64
68,32,10,6,0,16,0.0,22,22,34,34
42,38,5,5,4,10,0.4,88,88,100,84
24,19,4,3,2,7,0.29,88,88,100,74
38,38,5,5,4,10,0.4,90,82,100,82
78,55,13,8,2,20,0.1,43,38,100,45
47,59,5,8,2,13,0.15,77,74,100,79
17,38,3,7,2,10,0.2,79,55,100,88
18,15,2,2,0,4,0.0,79,79,80,80
20,20,3,3,3,6,0.5,100,100,100,100
72,61,11,8,4,19,0.21,63,60,100,56
86,33,12,5,3,17,0.18,75,44,100,55
46,68,7,9,1,16,0.06,25,33,100,42
23,24,3,3,2,6,0.33,89,89,100,91
23,20,4,4,3,8,0.38,86,70,100,70
27,25,4,4,3,8,0.38,84,81,100,88
28,25,4,4,3,8,0.38,91,87,100,88
29,40,4,5,4,9,0.44,100,84,100,83
51,51,8,8,4,15,0.27,69,63,100,63
27,90,4,14,0,18,0.0,27,27,41,41
28,16,4,3,2,7,0.29,81,73,100,100
38,43,6,7,2,13,0.15,57,52,100,49
18,20,3,3,2,6,0.33,89,89,100,83
52,41,8,7,2,15,0.13,62,52,100,59
31,72,4,10,2,13,0.15,65,50,100,65
18,24,3,4,3,7,0.43,100,86,100,100
37,30,5,4,2,9,0.22,64,63,100,57
16,10,3,2,2,4,0.5,100,77,100,100
34,25,5,4,2,9,0.22,75,64,100,65
29,27,6,5,3,11,0.27,86,86,100,81
12,35,2,4,2,6,0.33,100,51,100,67
40,35,7,6,0,13,0.0,48,48,51,51
32,20,5,3,2,8,0.25,79,58,100,70
38,16,3,2,1,5,0.2,81,41,100,69
24,18,4,3,3,7,0.43,100,86,100,100
84,79,13,12,6,25,0.24,63,63,100,65
28,32,5,5,2,10,0.2,53,50,100,50
27,26,3,3,2,6,0.33,84,79,100,86
24,58,3,6,0,9,0.0,32,32,38,38
31,18,5,3,3,7,0.43,100,73,100,78
23,18,3,2,1,5,0.2,59,49,100,61
34,79,6,13,0,18,0.0,28,28,39,39
40,26,6,4,3,10,0.3,79,70,100,65
28,40,4,6,2,10,0.2,63,62,100,77
12,24,2,3,1,5,0.2,67,67,100,92
42,81,7,12,3,18,0.17,60,52,100,60
13,27,2,4,0,6,0.0,30,30,38,38
25,59,4,8,2,11,0.18,57,36,100,56
31,31,5,5,5,10,0.5,100,100,100,100
36,41,6,7,6,13,0.46,100,94,100,86
42,43,8,6,4,14,0.29,73,66,100,64
56,55,8,8,7,16,0.44,95,90,100,89
27,33,4,5,2,9,0.22,70,63,100,70
38,94,5,13,2,16,0.12,59,36,100,50
37,39,5,6,5,11,0.45,100,97,100,100
38,62,5,8,3,13,0.23,73,46,100,61
53,41,8,6,4,14,0.29,85,77,100,83
22,45,3,5,3,8,0.38,100,66,100,100
24,15,4,2,1,6,0.17,72,72,100,87
60,25,8,4,0,12,0.0,19,19,32,32
46,49,6,6,2,12,0.17,63,63,100,65
37,51,5,7,5,12,0.42,100,84,100,100
66,21,9,3,2,12,0.17,73,48,100,67
53,65,7,10,0,17,0.0,32,32,34,34
38,20,4,2,2,6,0.33,100,69,100,75
18,31,3,5,3,8,0.38,100,73,100,67
47,42,6,5,4,11,0.36,94,88,100,88
14,18,3,3,1,6,0.17,62,44,100,50
34,43,4,6,1,10,0.1,47,39,100,44
37,32,4,3,3,7,0.43,100,93,100,100
12,12,2,2,2,4,0.5,100,100,100,100
17,17,3,3,1,6,0.17,71,71,100,71
36,19,7,4,3,11,0.27,81,47,100,53
58,27,7,4,0,11,0.0,35,35,56,56
61,58,9,8,2,17,0.12,42,45,100,47
25,19,4,3,3,7,0.43,100,86,100,100
68,53,12,9,3,20,0.15,56,50,100,53
45,24,7,5,3,12,0.25,67,35,100,50
55,38,7,5,2,12,0.17,49,37,100,45
41,22,6,4,2,10,0.2,67,60,100,64
27,16,4,2,2,6,0.33,100,74,100,69
53,26,10,5,3,14,0.21,67,51,100,62
33,40,5,5,3,10,0.3,84,79,100,89
32,32,4,4,4,8,0.5,100,100,100,100
53,49,8,8,3,15,0.2,61,57,100,49
53,33,7,5,0,12,0.0,33,33,48,48
29,16,4,3,2,7,0.29,81,49,100,62
33,99,5,14,0,18,0.0,24,23,37,37
33,33,6,6,6,12,0.5,100,100,100,100
46,37,6,5,4,11,0.36,91,80,100,89
51,50,7,7,6,14,0.43,99,99,100,100
85,173,11,26,3,36,0.08,32,38,100,39
102,83,12,11,3,22,0.14,45,46,100,52
55,21,7,4,2,11,0.18,65,45,100,52
76,89,10,14,3,22,0.14,42,41,100,48
37,85,5,12,3,17,0.18,81,48,100,62
20,16,3,2,1,4,0.25,74,61,100,62
25,15,4,3,3,7,0.43,100,75,100,100
24,40,4,6,2,10,0.2,70,50,100,67
51,43,9,6,0,15,0.0,19,19,21,21
38,27,3,3,1,6,0.17,71,71,100,70
70,37,11,5,5,16,0.31,100,69,100,73
38,46,6,7,5,13,0.38,93,79,100,66
30,76,4,12,0,16,0.0,28,28,40,40
20,8,3,1,1,4,0.25,100,57,100,100
42,34,5,4,3,9,0.33,87,76,100,74
25,49,4,8,3,12,0.25,78,54,100,68
38,35,5,4,3,9,0.33,82,82,100,77
22,27,3,4,1,7,0.14,82,82,100,86
71,83,6,7,3,11,0.27,89,90,100,97
43,21,5,3,0,8,0.0,25,25,48,48
64,55,10,7,1,17,0.06,35,40,100,42
19,19,3,3,3,6,0.5,100,100,100,100
13,6,2,1,1,3,0.33,100,63,100,100
72,51,13,10,2,22,0.09,50,46,100,44
45,29,8,5,4,13,0.31,84,57,100,59
66,64,9,8,5,13,0.38,91,86,100,84
19,18,4,4,2,8,0.25,65,54,100,56
76,93,12,15,6,24,0.25,65,60,100,66
30,16,5,3,3,8,0.38,100,70,100,100
24,23,4,4,1,8,0.12,60,60,100,61
72,43,9,5,3,13,0.23,70,54,100,58
30,20,4,3,1,7,0.14,56,52,100,60
17,27,3,4,3,7,0.43,100,77,100,100
26,17,5,3,3,8,0.38,100,79,100,100
46,62,5,7,5,12,0.42,100,85,100,74
43,50,6,7,6,13,0.46,100,92,100,100
61,111,8,16,2,19,0.11,56,60,100,61
22,11,2,1,1,3,0.33,100,67,100,100
63,33,9,5,3,14,0.21,65,52,100,73
38,37,4,5,2,9,0.22,65,64,100,66
55,59,8,8,2,16,0.12,53,40,100,52
29,25,4,5,2,9,0.22,78,74,100,72
27,18,5,3,3,8,0.38,100,80,100,78
20,14,3,2,2,5,0.4,100,82,100,100
20,30,3,4,3,7,0.43,100,80,100,80
50,53,7,7,6,14,0.43,96,89,100,92
37,34,4,4,3,8,0.38,89,82,100,76
16,20,3,4,2,7,0.29,81,61,100,71
16,16,3,3,3,6,0.5,100,100,100,100
29,30,5,5,2,10,0.2,58,54,100,57
39,49,5,8,0,13,0.0,34,34,38,38
59,54,8,8,2,16,0.12,50,42,100,49
30,30,5,5,5,10,0.5,100,100,100,100
21,23,3,3,2,6,0.33,89,86,100,90
39,34,5,5,3,10,0.3,81,68,100,74
27,33,3,4,1,7,0.14,57,40,100,57
35,27,5,5,2,10,0.2,62,55,100,59
61,42,8,6,4,14,0.29,76,64,100,67
21,21,4,4,4,8,0.5,100,100,100,100
43,26,5,6,2,9,0.22,67,38,100,50
13,25,2,3,1,5,0.2,70,42,100,62
10,14,2,3,1,5,0.2,83,83,100,100
32,21,4,3,2,7,0.29,86,68,100,62
39,48,6,7,5,13,0.38,90,80,100,77
46,45,5,5,3,10,0.3,78,73,100,82
65,29,8,5,0,13,0.0,13,13,38,38
10,16,2,2,1,4,0.25,57,31,100,57
40,31,6,6,0,12,0.0,34,34,36,36
24,32,3,4,3,7,0.43,100,86,100,100
26,33,3,4,3,7,0.43,100,88,100,100
40,40,6,6,4,12,0.33,75,70,100,70
46,35,8,6,4,14,0.29,70,64,100,66
50,25,7,4,1,11,0.09,45,40,100,60
10,17,3,4,2,7,0.29,82,59,100,60
62,51,8,6,2,14,0.14,43,48,100,51
20,25,4,5,2,9,0.22,71,67,100,75
41,40,6,6,5,12,0.42,92,86,100,85
70,21,9,3,2,12,0.17,86,42,100,52
50,51,6,5,0,11,0.0,26,26,28,28
56,21,7,3,2,10,0.2,73,39,100,71
54,30,7,4,2,11,0.18,67,50,100,67
17,20,2,4,1,5,0.2,91,86,100,97
53,43,7,6,1,13,0.08,50,50,100,56
48,46,7,5,4,12,0.33,86,79,100,76
89,44,13,8,0,20,0.0,29,27,39,39
53,33,6,4,3,10,0.3,82,67,100,70
46,70,9,12,3,19,0.16,44,43,100,42
30,92,5,15,2,20,0.1,54,31,100,47
24,11,3,2,1,5,0.2,71,34,100,71
26,37,4,5,3,9,0.33,87,63,100,73
50,51,6,7,4,13,0.31,75,65,100,70
24,40,4,6,3,10,0.3,77,75,100,62
38,37,6,6,5,12,0.42,99,99,100,97
27,51,4,8,3,12,0.25,77,56,100,56
5,11,1,2,0,3,0.0,62,62,100,100
49,48,7,7,6,14,0.43,91,82,100,91
20,52,3,8,0,11,0.0,17,17,30,30
33,63,5,10,4,15,0.27,86,58,100,55
20,24,3,5,2,6,0.33,78,50,100,65
103,95,13,12,10,23,0.43,95,88,100,83
84,18,11,3,1,13,0.08,50,27,100,56
51,44,6,5,0,11,0.0,40,40,41,41
76,62,11,9,2,20,0.1,48,45,100,52
33,37,5,5,3,8,0.38,91,83,100,76
27,27,3,3,3,6,0.5,100,100,100,100
